0	17
0	8
1	2
1	13
1	19
2	20
5	10
10	10
16	13
16	2
16	12
18	4
23	12
24	5
24	2
25	9
25	5
27	9
35	8
35	20
35	15
35	20
36	20
39	12
39	8
39	16
48	3
50	2
50	9
54	5
55	8
57	17
64	4
67	2
70	9
70	3
70	1
71	19
71	12
71	5
73	12
73	16
76	8
77	15
78	12
83	1
88	15
90	16
92	9
96	15
101	7
105	3
105	14
105	6
107	7
107	14
108	1
110	1
115	7
117	9
118	5
118	15
118	6
119	1
126	16
126	6
127	3
127	8
129	16
131	6
131	12
131	20
133	13
139	12
141	14
141	4
145	12
146	1
150	19
151	1
151	15
154	5
154	15
155	20
164	3
168	13
171	13
172	3
173	14
175	20
175	4
179	10
184	6
185	9
185	10
189	13
190	6
193	4
200	20
200	2
