0	12
4	17
4	7
8	2
13	2
17	12
18	11
25	7
30	9
32	12
32	6
33	8
33	12
34	11
35	8
39	5
41	7
41	18
41	14
41	15
42	20
44	1
48	10
49	14
50	19
50	2
51	10
57	20
60	10
64	3
73	8
79	1
81	20
81	14
84	3
85	1
85	5
85	13
86	19
95	6
99	16
101	5
102	5
106	8
106	7
110	13
112	4
114	6
122	2
126	9
128	20
129	1
130	10
131	1
135	14
135	20
137	2
138	15
139	19
139	11
146	18
147	6
150	4
150	17
150	19
150	6
150	9
150	15
153	10
153	7
153	20
153	6
156	3
164	17
165	5
167	10
169	9
178	20
180	15
181	10
183	8
190	6
190	2
194	17
194	6
199	15
199	8
199	8
200	9
200	6
209	10
212	18
212	3
212	13
216	14
217	13
218	10
218	14
218	8
221	20
